captured_at_utc,category,market_id,slug,question,volume24hr_usd,volume_total_usd,end_date,options_json,results_pct_json
2026-03-02T15:19:03+00:00,world,559651,xi-jinping-out-before-2027,Xi Jinping out before 2027?,42638.74777700005,6763957.068863,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 9.05, ""No"": 90.95}"
2026-03-02T15:19:03+00:00,world,1006892,will-russia-capture-lyman-by-march-31-2026-494,"Will Russia capture Lyman by March 31, 2026?",13311.84921,538552.468831,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 22.5, ""No"": 77.5}"
2026-03-02T15:19:03+00:00,world,923366,will-anutin-charnvirakul-be-the-next-prime-minister-of-thailand-after-the-election,Will Anutin Charnvirakul be the next prime minister of Thailand?,1793.33,370342.216323,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 95.95, ""No"": 4.05}"
2026-03-02T15:19:03+00:00,world,1397269,will-russia-capture-lyman-by-june-30-2026-413,"Will Russia capture Lyman by June 30, 2026?",1130.535845,7132.590504,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 68.0, ""No"": 32.0}"
2026-03-02T15:19:03+00:00,world,1397302,will-russia-capture-lyman-by-april-30-2026,"Will Russia capture Lyman by April 30, 2026?",997.694416,28164.175064,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 40.5, ""No"": 59.5}"
2026-03-02T15:19:03+00:00,world,700881,will-israel-annex-any-territory-by-june-30,Will Israel annex any territory by June 30?,996.910975,95278.344331,2026-06-30,"[""Yes"", ""No""]","{""Yes"": 16.05, ""No"": 83.95}"
2026-03-02T15:19:03+00:00,world,644510,spain-snap-election-called-by-june-30-2026,"Spain snap election called by June 30, 2026?",568.75,24911.840913,,"[""Yes"", ""No""]","{""Yes"": 17.5, ""No"": 82.5}"
2026-03-02T15:19:03+00:00,world,1397270,will-russia-capture-lyman-by-december-31-2026-774,"Will Russia capture Lyman by December 31, 2026?",154.815712,6583.033686,2025-12-31,"[""Yes"", ""No""]","{""Yes"": 86.0, ""No"": 14.0}"
2026-03-02T15:19:03+00:00,world,923368,will-natthaphong-ruengpanyawut-be-the-next-prime-minister-of-thailand-after-the-election,Will Natthaphong Ruengpanyawut be the next prime minister of Thailand?,130.551,204138.479931,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.5, ""No"": 99.5}"
2026-03-02T15:19:03+00:00,world,923376,will-yodchanan-wongsawat-be-the-next-prime-minister-of-thailand,Will Yodchanan Wongsawat be the next prime minister of Thailand?,9.89,233500.684926,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.25, ""No"": 99.75}"
2026-03-02T15:19:03+00:00,world,923369,will-chaikasem-nitisiri-be-the-next-prime-minister-of-thailand-after-the-election,Will Chaikasem Nitisiri be the next prime minister of Thailand?,9.89,82804.762338,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,world,923373,will-julapun-amornvivat-be-the-next-prime-minister-of-thailand-after-the-election,Will Julapun Amornvivat be the next prime minister of Thailand?,0.0,66823.218644,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:19:03+00:00,world,923367,will-paetongtarn-shinawatra-be-the-next-prime-minister-of-thailand-after-the-election,Will Paetongtarn Shinawatra be the next prime minister of Thailand?,0.0,41422.811342,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:19:03+00:00,world,923374,will-prawit-wongsuwan-be-the-next-prime-minister-of-thailand-after-the-election,Will Prawit Wongsuwan be the next prime minister of Thailand?,0.0,35584.842355,2026-12-31,"[""Yes"", ""No""]","{""Yes"": 0.05, ""No"": 99.95}"
2026-03-02T15:19:03+00:00,tech,676711,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-march-31-889,Will Microsoft be the largest company in the world by market cap on March 31?,175575.6529999999,757524.18997,2026-03-31,"[""Yes"", ""No""]","{""Yes"": 0.15, ""No"": 99.85}"
2026-03-02T15:19:03+00:00,tech,1237452,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-february-28-846,Will NVIDIA be the largest company in the world by market cap on February 28?,164242.4457339998,3811056.540393,2026-02-28,"[""Yes"", ""No""]","{""Yes"": 99.95, ""No"": 0.05}"
